URL,NAME,POS,AGE,HT,WT,COLLEGE,SALARY
https://a.espncdn.com/i/headshots/nba/players/full/4065673.png,Tony Bradley11,C,23,"6' 10""",260 lbs,North Carolina,"$3,542,060 "
https://a.espncdn.com/i/headshots/nba/players/full/2326307.png,Seth Curry31,SG,30,"6' 2""",192 lbs,Duke,"$7,834,449 "
https://a.espncdn.com/i/headshots/nba/players/full/3059318.png,Joel Embiid21,C,26,"7' 0""",280 lbs,Kansas,"$29,542,010 "
https://a.espncdn.com/i/headshots/nba/players/full/4230546.png,Terrance Ferguson23,SF,22,"6' 6""",195 lbs,--,"$3,944,013 "
https://a.espncdn.com/i/headshots/nba/players/full/3988.png,Danny Green14,SF,33,"6' 6""",210 lbs,North Carolina,"$15,365,853 "
https://a.espncdn.com/i/headshots/nba/players/full/6440.png,Tobias Harris12,PF,28,"6' 8""",228 lbs,Tennessee,"$34,358,850 "
https://a.espncdn.com/i/headshots/nba/players/full/2384.png,Dwight Howard39,C,35,"6' 10""",260 lbs,--,"$1,620,564 "
https://a.espncdn.com/i/headshots/nba/players/full/4395702.png,Isaiah Joe7,SG,21,"6' 4""",167 lbs,Arkansas,"$898,310 "
https://a.espncdn.com/i/headshots/nba/players/full/3929325.png,Furkan Korkmaz30,SG,23,"6' 7""",210 lbs,--,"$1,762,796 "
https://a.espncdn.com/i/headshots/nba/players/full/4431678.png,Tyrese Maxey0,PG,20,"6' 2""",191 lbs,Kentucky,"$2,478,840 "
https://a.espncdn.com/i/headshots/nba/players/full/3915195.png,Shake Milton18,SG,24,"6' 5""",210 lbs,SMU,"$1,701,593 "
https://a.espncdn.com/i/headshots/nba/players/full/4237215.png,Vincent Poirier17,C,27,"7' 0""",260 lbs,--,"$2,619,207 "
https://a.espncdn.com/i/headshots/nba/players/full/4278562.png,Paul Reed44,SF,21,"6' 9""",218 lbs,DePaul,--
https://a.espncdn.com/i/headshots/nba/players/full/6622.png,Mike Scott1,PF,32,"6' 7""",237 lbs,Virginia,"$5,005,350 "
https://a.espncdn.com/i/headshots/nba/players/full/3907387.png,Ben Simmons25,PG,24,"6' 11""",240 lbs,LSU,"$30,559,200 "
https://a.espncdn.com/i/headshots/nba/players/full/3907498.png,Matisse Thybulle22,SG,23,"6' 5""",202 lbs,Washington,"$2,711,280 "
https://a.espncdn.com/i/headshots/nba/players/full/3908819.png,Rayjon Tucker6,SG,23,"6' 3""",209 lb,Arkansas-Little Rock,--
